frc0,,,,,
frc192,GRT,SRI/Vander-Bend/Madco Welding Supply/Paradigm Counsel/Zonare/Tillotson/Red Fury/Amex & Gunn High School,"Palo Alto, CA, USA",http://www.gunnrobotics.com,
frc193,MORT Beta,Mt. Olive Board of Education & Mt. Olive High School,"Flanders, NJ, USA",http://www.mort11.org,
frc195,Cyber Knights,United Technologies / Mohawk Northeast / Conveyco / Pyramid Technologies / Plainville Electrical Products Company / Tiger Enterprises / Saucier Mechanical Services & Southington High School,"Southington, CT, USA",http://www.team195.com,
frc197,,,,,
frc201,The FEDS,General Motors Research and Development / TARDEC / Atlas Copco / Elite Auto / Rickman Enterprise / Briarwood Heating and Cooling & Rochester High School,"Rochester Hills, MI, USA",http://www.feds201.com,
frc202,,,,,
frc203,One TUFF Team (Team United for FIRST),Campbell's Soup & Camden County Technical  School,"Sicklerville, NJ, USA",http://www.rockyrobot.com,
frc204,Eastern Robotic Vikings,Lockheed Martin / Renesas / Eastern Regional High School Board of Education / Eastern Educational Foundation & Eastern Camden County Regional High Schools,"Voorhees, NJ, USA",http://www.team204.tk,
frc207,METALCRAFTERS,The Boeing Company/Walt Disney Imagineering & Centinela Valley Union High School District,"Hawthorne, CA, USA",http://HHSEngineering.com,
frc209,,Texas Instruments & Dighton Rehoboth Regional High School,"North Dighton, MA, USA",,
frc211,MAK,Eastman Kodak Company & John Marshall High School,"Rochester, NY, USA",http://www.rcsdk12.org/marshall/index.html ,
frc212,Robotics And Creative Engineering,Dr. Michael Krop High School,"Miami, FL, USA",http://www.firstrobotics.net/212		  	,
frc213,The Dirty Birds,Keene High First Robotics Club,"Keene, NH, USA",,
frc215,,,"El Paso, TX, USA",,
frc216,More RoboDawgs,State of Michigan / Grandville Public Schools / Mico Industries / Blue Medora / Hepfer & Associates & Grandville High School,"Grandville, MI, USA",,
frc217,ThunderChickens,Innovation First International/Ford Motor Company/BAE Systems & Utica Community Schools,"Sterling Heights, MI, USA",http://www.thunderchickens.org,
frc219,Team Impact,Warren Hills Regional High School,"Washington, NJ, USA",http://www.whrobotics.com,
frc221,,,"Houghton, MI, USA",,
frc222,Tigertrons,Guyette Communication/Procter and Gamble/Print to 3D/Fastenal/Northeast PA Industrial Resource Center & Tunkhannock Area High School,"Tunkhannock, PA, USA",http://tigertrons.net,
frc223,Xtreme Heat,Johnson & Johnson/Ajac Electric & Lakeland Regional High School,"Wanaque, NJ, USA",http://www.team223.com,
frc224,The Tribe,Mars International/F&A Machine/Charter Machine & Piscataway High School,"Piscataway, NJ, USA",http://www.team224.com,
frc225,TechFire,PRESIDIO Networked Solutions/NRG Energy/Penn-Air & Hydraulics/St. Onge Company/Fred Dallmeyer Fund of York County Community Foundation/Leidos/Coupling Corporation of America/JMT Engineering/Lockheed Martin/ParenteBeard/Vicente Rojas Family & TechFire Robotics of York,"York, PA, USA",http://www.techfire225.com,
frc226,Hammerheads,General Motors ME Vehicle Systems/Delphi Foundation/Gallagher-Kaiser Corporation/Troy Foundation for Educational Excellence & Troy School District,"Troy, MI, USA",http://www.hammerhead226.org,
frc227,,,,,
frc228,GUS Robotics,Meriden Board Of Education / Bristol-Myers Squibb / Trail of Terror / United Technologies / 3M / R&D Precision & Maloney High School & Platt High School & Wilcox Technical High School,"Meriden, CT, USA",http://www.team228.org,
frc229,Division By Zero,Clarkson University & Massena High School & Salmon River High School,"Potsdam, NY, USA",http://www.team229robotics.com,
frc230,Gaelhawks,United Technologies / Sikorsky / OEM Controls / Pitney Bowes / Intuitive Surgical / Boeing & Shelton High School,"Shelton, CT, USA",http://www.shsrobotics.org,
frc231,High Voltage,The Boeing Company/Texas Workforce Commisson/Oceaneering Space Systems/LyondellBasell & Pasadena ISD,"Pasadena, TX, USA",http://www.team231.com,
frc232,,,"Napa, CA, USA",,
frc233,The Pink Team,"NASA Kennedy Space Center/School Board of Brevard County/GovConnection, Inc & Rockledge High School & Cocoa Beach High School & Space Coast Junior Senior High School & Viera High School","Rockledge/Cocoa Beach, FL, USA",http://www.thepinkteam.org,
frc234,Cyber Blue,Allison Transmission / Rolls-Royce / Morris Machine / Our Proud Grandmas & Perry Meridian High School,"Indianapolis, IN, USA",http://cyberblue234.com/site,
frc235,Motown Live Wires,DaimlerChrysler/WarrenStamping & Fitzgerald High & A. Philip Randolph & Denby,"Warren, MI, USA",http://team235.netfirms.com,
frc236,Techno-Ticks,Dominion Millstone Power Station/Lyme-Old Lyme Education Foundation (LOLEF) & Lyme-Old Lyme High School,"Old Lyme, CT, USA",http://www.technoticks236.com,
frc237,Black Magic Robotics,Siemon Company/TUV Rheinland/Trumpf & Watertown High School,"Watertown, CT, USA",http://team237.com,
frc238,Cruisin' Crusaders,"Texas Instruments / BAE Systems / Sunrise Labs Inc. / Millennium Precision  LLC / Memorial High School Booster Club / FlowTraq by Process Query Systems, LLC / elfTECH / Empire Sheet Metal / Batteries + Bulbs / Bosch Powertools Division / CID Construction / MuShield / Wiggins Airways / Temco Tool Co., Inc. / John Tippett / Graffitee Wear & Manchester Memorial High School","Manchester, NH, USA",http://frc238.from-nh.com,
frc239,,,,,
frc240,Tempest,DTE Energy Foundation / UWUA Local 223 / Stolisov Family / Eder Family / FEDCO / Clark Family / Education Plus Credit Union / Wynn Families / UAW Local 14 / Revard Family / Masson Family & Jefferson High School Robotics,"Monroe, MI, USA",http://www.jefferson.k12.mi.us/Default.aspx?tabid=820,
frc241,Astros,BAE Systems & Pinkerton Academy,"Derry, NH, USA",http://www.team241.org,
frc244,RoboDawgs 3D,State of Michigan / Grandville Public Schools / Herman Miller / Momma's Home / Hepfer & Associates & Grandville High School,"Grandville, MI, USA",,
frc245,Adambots,"GM Global Product Operations / Chrysler Foundation / Plex Systems, Inc. / R & G Drummer / TARDEC_NDEP / Valeo Thermal Systems / State of Michigan / Wally Edgar Chevrolet & Rochester Adams and Stoney Creek High Schools","Rochester Hills, MI, USA",http://www.adambots.com,
frc246,Overclocked,Boston University & Boston University Academy,"Boston, MA, USA",http://www.bu.edu/bufirst,
frc247,Da Bears,Terminal Supply / TARDEC / AMG Advanced Manufacturing Group / DADARA Ford Motor Company / Production Tool Supply / Autoliv / General Motors & Berkley High School & Hazel Park & Shrine Catholic High School,"Berkley, MI, USA",http://www.247dabears.com,
frc248,,,"Philadelphia, PA, USA",,
